Product Name,Product ID,Price,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Ankle boots JENNY FAIRY,WS5606-16 Pink,39,Pink,Jenny Fairy,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"35 , 36 , 37 , 39"
Over-Knee Boots JENNY FAIRY,WS2106-12 Beige,50,Beige,Jenny Fairy,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots JENNY FAIRY,WS5606-14 Black,40,Black,Jenny Fairy,5.90E+12,Block heel,New,  product not in sale  ,Fall/Winter,"38 , 39"
Footwear JENNY FAIRY,WSL19150-12 Brown,25,Brown,Jenny Fairy,5.90E+12,not defined,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38"
Ankle boots LASOCKI,WI23-DOC-P-3 Beige,50,Beige,Lasocki,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"36 , 38"
Trainers LASOCKI,WI23-VESA-03 Cobalt Blue,45,Navy Blue,Lasocki,5.90E+12,Flat,New,  product not in sale  ,All year round,"36 , 38 , 39 , 40 , 41"
Ankle boots LASOCKI,WI16-ZOLA-01 Black,60,Black,Lasocki,5.90E+12,Flat,Eco friendly,  product not in sale  ,Fall/Winter,"36 , 38 , 39 , 40 , 41 , 42"
Boots LASOCKI,WI16-ALBA3-01 Maroon,50,Dark Red,Lasocki,5.90E+12,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 39 , 41"
Hiking Boots DEEZEE,WS5657-01 Blue,45,Blue,DeeZee,5.90E+12,Platform Wedge heel,New,  product not in sale  ,Fall/Winter,"36 , 38 , 39 , 40"
Hiking Boots DEEZEE,WS5195-02 Beige,35,Beige,DeeZee,5.90E+12,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Hiking Boots DEEZEE,WS5207-09 Silver,40,Silver,DeeZee,5.90E+12,not defined,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots DEEZEE,WS19289-02 Black,40,Black,DeeZee,5.90E+12,Block heel,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots GINO ROSSI,V802-101 Beige,90,Beige,Gino Rossi,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots GINO ROSSI,RST-GALLIE-02 Black,85,Black,Gino Rossi,5.90E+12,Block heel Platform,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Boots GINO ROSSI,I020-30124DUL Brown,85,Brown,Gino Rossi,5.90E+12,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots RIEKER,Z7181-00 Schwarz,85,Black,Rieker,207389786,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 41"
Ankle boots RIEKER,58392-35 Rot,60,"Black, 
            Dark Red",Rieker,207387775,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots RIEKER,53774-35 Rot,70,Dark Red,Rieker,207387713,Wedge heel,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Boots RIEKER,Y3420-60 Beige 1,75,Beige,Rieker,201571538,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Trainers NEW BALANCE,GC574ME2 Grey,64,Grey,New Balance,208429122,Flat,-59%,Ä 26.00,All year round,"35.5 , 36"
Trainers NEW BALANCE,WL373FT2 Black,71,Black,New Balance,208430791,not defined,-44%,Ä 40.00,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5"
Sneakers NEW BALANCE,WL574EN Navy Blue,84,Navy Blue,New Balance,200631073,Flat,New,  product not in sale  ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41"
Sneakers NEW BALANCE,WL565SLL Purple,89,Purple,New Balance,199868931,Flat,-52%,Ä 43.00,All year round,"36 , 36.5 , 37 , 37.5 , 38"
Ankle boots SERGIO BARDI,SB-70-12-001322 190,107,Green,Sergio Bardi,208980395,Block heel,New,  product not in sale  ,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 40"
Chelsea boots SERGIO BARDI,SB-83-12-001354 602,93,Beige,Sergio Bardi,209157703,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots SERGIO BARDI,SB-50-10-000792 101,76,Black,Sergio Bardi,207761742,Flat,-25%,Ä 57.00,Fall/Winter,"36 , 37 , 40"
Ankle boots SERGIO BARDI,SB-63-10-000726 603,76,Brown,Sergio Bardi,207226807,Platform Wedge heel,-25%,Ä 57.00,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 40 , 41 , 42"
Trainers CLARA BARSON,WS5102-02 Beige,40,Beige,Clara Barson,5.90E+12,Flat,New,  product not in sale  ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots CLARA BARSON,WS2702-09 Black,35,Black,Clara Barson,5.90E+12,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots CLARA BARSON,WYL1877-5 Bluemarin,30,Navy Blue,Clara Barson,5.90E+12,Wedge heel,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Footwear BIG STAR,II274121 Beige,33,"Beige, 
            Gold",Big Star,208723343,Flat,New,  product not in sale  ,Fall/Winter,"37 , 39 , 40"
Ankle boots CLARA BARSON,WS5200-10 Brown,35,Brown,Clara Barson,5.90E+12,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Footwear BIG STAR,II274441 Camel/Camel,33,Brown,Big Star,208724289,not defined,New,  product not in sale  ,Fall/Winter,"37 , 38 , 39"
Footwear BIG STAR,II274118 Grey,33,Silver,Big Star,208714983,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Sneakers BIG STAR,GG274537 Black,31,Black,Big Star,207838086,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39"
Shoes BIG STAR,EE274417 Grey,31,Grey,Big Star,201524053,Flat,New,  product not in sale  ,not found,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots GO SOFT,WI23-REBECA-06 Red,50,Red,Go Soft,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Shoes GO SOFT,WI16-SAMSON-01 Maroon,40,Dark Red,Go Soft,5.90E+12,not defined,0%,  product not in sale  ,All year round,"36 , 37 , 38"
Ankle boots GO SOFT,WI16-SAMSON-02 Black,50,Black,Go Soft,5.90E+12,not defined,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39"
Trainers GO SOFT,WI23-REBECA-05 Cobalt Blue,40,Navy Blue,Go Soft,5.90E+12,Flat,0%,  product not in sale  ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Footwear adidas,Ownthegame 2.0 K H01556 Cloud White/Core Black/True Orange,47,White,"adidas, 
            adidas Performance",208111249,Flat,0%,  product not in sale  ,All year round,"35.5 , 36 , 36 2/3 , 37 1/3 , 38 , 38 2/3 , 39 1/3 , 40"
Footwear adidas,Runfalcon 2.0 K FY9494 Cblack/Cblack/Gresix,40,Black,"adidas, 
            adidas Performance",207778627,Flat,New,  product not in sale  ,All year round,"33 , 33.5 , 34 , 35 , 35.5 , 36 , 36 2/3 , 37 1/3 , 38 , 38 2/3 , 39 1/3 , 40"
Footwear adidas,Falcon W FV1104 Talc/Hazcor/Grntnt,100,Grey,"adidas, 
            adidas Originals",206744876,Flat,-50%,Ä 50.00,not found,"39 1/3 , 40 , 40 2/3 , 41 1/3 , 42"
Slides adidas,adilette Aqua F35542 Dkblue/Ftwwht/Dkblue,20,Navy Blue,"adidas, 
            adidas Performance",201281789,Flat,New,  product not in sale  ,Spring/Summer,"37 , 38 , 39 , 40.5 , 42 , 43 , 44.5 , 46 , 47"
Combat Boots DR. MARTENS,1460 Smooth 11822006 Black,189,Black,Dr. Martens,207479241,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41 , 42 , 43 , 44 , 45 , 46 , 48"
Combat Boots DR. MARTENS,Jadon 15265100 White,219,White,Dr. Martens,206509031,Flat,New,  product not in sale  ,Fall/Winter,"36 , 38 , 40 , 41 , 44 , 45"
Shoes DR. MARTENS,1461 11838600 Cheery Red/Smooth,159,Dark Red,Dr. Martens,206291653,Flat,New,  product not in sale  ,All year round,"36 , 37 , 38 , 39 , 40 , 41 , 42 , 43 , 44 , 45 , 46"
Combat Boots DR. MARTENS,1460 10072501/11821500 Purple,189,Purple,Dr. Martens,191082021,Flat,New,  product not in sale  ,not found,"36 , 37 , 38 , 39 , 40 , 41"
Knee High Boots CAPRICE,9-25512-27 Black Stretch 044,60,Black,Caprice,209086331,Flat,New,  product not in sale  ,Fall/Winter,"37.5 , 38 , 38.5 , 39 , 40 , 40.5"
Ankle boots CAPRICE,9-25461-27 White Naplak 122,90,White,Caprice,209085808,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 41"
Shoes CAPRICE,9-22151-26 Ocean Nappa 855,50,Navy Blue,Caprice,208137287,Flat,-34%,Ä 33.00,All year round,"36 , 37 , 38 , 39"
Ankle boots CAPRICE,9-25355-25 Bordeaux Croco 533,78,Dark Red,Caprice,207340497,Flat,-29%,Ä 55.00,Fall/Winter,"36 , 37 , 38"
Ankle boots SPRANDI,WP07-01462-03 Beige,40,Beige,Sprandi,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Trekker Boots SPRANDI,BP40-20645Z Black,35,Black,Sprandi,5.90E+12,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Footwear SPRANDI,WP66-21825 White,35,White,Sprandi,5.90E+12,Flat,New,  product not in sale  ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trekker Boots SPRANDI,BP07-91327-01 Camel,35,Brown,Sprandi,5.90E+12,Flat,0%,  product not in sale  ,All year round,"35 , 36 , 37 , 38"
