Product Name,Product ID,   Price (in Euro)   ,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Ankle boots JENNY FAIRY,WS5606-16 Pink,Ä 39.95,Pink,Jenny Fairy,5900000000000,Flat,New,  product not in sale  ,Fall/Winter,"35 , 36 , 37 , 39"
Over-Knee Boots JENNY FAIRY,WS2106-12 Beige,Ä 49.95,Beige,Jenny Fairy,5900000000000,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots JENNY FAIRY,WS5606-14 Black,Ä 39.95,Black,Jenny Fairy,5900000000000,Block heel,New,  product not in sale  ,Fall/Winter,"38 , 39"
Footwear JENNY FAIRY,WSL19150-12 Brown,Ä 24.95,Brown,Jenny Fairy,5900000000000,not defined,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38"
Ankle boots LASOCKI,WI23-DOC-P-3 Beige,Ä 49.95,Beige,Lasocki,5900000000000,Flat,New,  product not in sale  ,Fall/Winter,"36 , 38"
Trainers LASOCKI,WI23-VESA-03 Cobalt Blue,Ä 44.95,Navy Blue,Lasocki,5900000000000,Flat,New,  product not in sale  ,All year round,"36 , 38 , 39 , 40 , 41"
Ankle boots LASOCKI,WI16-ZOLA-01 Black,Ä 59.95,Black,Lasocki,5900000000000,Flat,Eco friendly,  product not in sale  ,Fall/Winter,"36 , 38 , 39 , 40 , 41 , 42"
Boots LASOCKI,WI16-ALBA3-01 Maroon,Ä 49.95,Dark Red,Lasocki,5900000000000,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 39 , 41"
Hiking Boots DEEZEE,WS5657-01 Blue,Ä 44.95,Blue,DeeZee,5900000000000,Platform Wedge heel,New,  product not in sale  ,Fall/Winter,"36 , 38 , 39 , 40"
Hiking Boots DEEZEE,WS5195-02 Beige,Ä 34.95,Beige,DeeZee,5900000000000,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Hiking Boots DEEZEE,WS5207-09 Silver,Ä 39.95,Silver,DeeZee,5900000000000,not defined,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots DEEZEE,WS19289-02 Black,Ä 39.95,Black,DeeZee,5900000000000,Block heel,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots GINO ROSSI,V802-101 Beige,Ä 89.95,Beige,Gino Rossi,5900000000000,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots GINO ROSSI,RST-GALLIE-02 Black,Ä 84.95,Black,Gino Rossi,5900000000000,Block heel Platform,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Boots GINO ROSSI,I020-30124DUL Brown,Ä 84.95,Brown,Gino Rossi,5900000000000,Flat,0%,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots RIEKER,Z7181-00 Schwarz,Ä 84.99,Black,Rieker,207389786,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 41"
Ankle boots RIEKER,58392-35 Rot,Ä 59.99,"Black, 
            Dark Red",Rieker,207387775,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots RIEKER,53774-35 Rot,Ä 69.99,Dark Red,Rieker,207387713,Wedge heel,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Boots RIEKER,Y3420-60 Beige 1,Ä 74.99,Beige,Rieker,201571538,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Trainers NEW BALANCE,GC574ME2 Grey,Ä 64.00,Grey,New Balance,208429122,Flat,-59%,Ä 26.00,All year round,"35.5 , 36"
Trainers NEW BALANCE,WL373FT2 Black,Ä 71.00,Black,New Balance,208430791,not defined,-44%,Ä 40.00,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5"
Sneakers NEW BALANCE,WL574EN Navy Blue,Ä 84.00,Navy Blue,New Balance,200631073,Flat,New,  product not in sale  ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41"
Sneakers NEW BALANCE,WL565SLL Purple,Ä 89.00,Purple,New Balance,199868931,Flat,-52%,Ä 43.00,All year round,"36 , 36.5 , 37 , 37.5 , 38"
Ankle boots SERGIO BARDI,SB-70-12-001322 190,Ä 107.00,Green,Sergio Bardi,208980395,Block heel,New,  product not in sale  ,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 40"
Chelsea boots SERGIO BARDI,SB-83-12-001354 602,Ä 93.00,Beige,Sergio Bardi,209157703,Flat,New,  product not in sale  ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots SERGIO BARDI,SB-50-10-000792 101,Ä 76.00,Black,Sergio Bardi,207761742,Flat,-25%,Ä 57.00,Fall/Winter,"36 , 37 , 40"
Ankle boots SERGIO BARDI,SB-63-10-000726 603,Ä 76.00,Brown,Sergio Bardi,207226807,Platform Wedge heel,-25%,Ä 57.00,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 40 , 41 , 42"
Trainers CLARA BARSON,WS5102-02 Beige,Ä 39.95,Beige,Clara Barson,5900000000000,Flat,New,  product not in sale  ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
